Id_codedep_codecommune;Code_departement;Code_commune;Code_postal;Nom_commune;Population;Id_region
91_275;91;275;91940;GOMETZ-LE-CHATEL;876;R84
11_199;11;199;11290;LAVALETTE;827;R84
28_348;28;348;28350;ST LUBIN DES JONCHERETS;31220;R84
39_286;39;286;39170;LAVANS-LES-SAINT-CLAUDE;1213;R84
51_250;51;250;51170;FISMES;633;R84
71_342;71;342;71600;PARAY LE MONIAL;684;R84
77_226;77;226;77850;HERICY;3304;R84
01_014;01;014;1100;ARBENT;760;R84
03_321;03;321;3400;YZEURE;293;R84
05_161;05;161;5240;LA SALLE;203;R84
06_016;06;016;6470;BEUIL;351;R84
06_086;06;086;6380;MOULINET;208;R84
06_118;06;118;6530;SAINT-CEZAIRE-SUR-SIAGNE;702;R84
06_141;06;141;6830;TOUDON;641;R84
07_245;07;245;7300;SAINT-JEAN-DE-MUZOLS;3065;R84
13_001;13;001;13100;AIX EN PROVENCE;185;R84
30_249;30;249;30980;SAINT-DIONISY;13862;R84
34_332;34;332;34450;VIAS;411;R84
35_241;35;241;35780;LA RICHARDAIS;998;R84
38_163;38;163;38580;LE HAUT-BREDA;636;R84
39_411;39;411;39570;PERRIGNY;8434;R84
42_316;42;316;42240;UNIEUX;1299;R84
45_082;45;082;45110;CHATEAUNEUF S LOIRE;335;R84
45_173;45;173;45150;JARGEAU;618;R84
50_267;50;267;50430;LESSAY;283;R84
53_147;53;147;53100;MAYENNE;490;R84
56_193;56;193;56670;RIANTEC;1363;R84
60_178;60;178;60360;CREVECOEUR LE GRAND;1038;R84
60_500;60;500;60330;LE PLESSIS BELLEVILLE;221;R84
65_417;65;417;65600;SEMEAC;182;R84
69_260;69;260;69390;VERNAISON;1530;R84
69_265;69;265;69640;VILLE SUR JARNIOUX;231;R84
72_180;72;180;72600;MAMERS;1088;R84
74_040;74;040;74380;BONNE;962;R84
77_127;77;127;77170;COUBERT;126;R27
77_349;77;349;77280;OTHIS;201;R27
77_455;77;455;77111;SOIGNOLLES-EN-BRIE;238;R27
91_235;91;235;91700;FLEURY-MEROGIS;156;R27
01_390;01;390;1150;SAINT-VULBAS;98;R27
25_157;25;157;25300;LA CLUSE ET MIJOUX;1180;R27
35_334;35;334;35235;THORIGNE-FOUILLARD;488;R27
38_547;38;547;38190;VILLARD-BONNOT;399;R27
45_030;45;030;45340;BEAUNE-LA-ROLANDE;459;R27
47_175;47;175;47150;MONFLANQUIN;414;R27
51_662;51;662;51420;WITRY-LES-REIMS;2043;R27
66_212;66;212;66440;TORREILLES;1758;R27
69_006;69;006;69550;AMPLEPUIS;410;R27
73_296;73;296;73320;TIGNES;615;R27
06_130;06;130;6460;SAINT-VALLIER-DE-THIEY;1423;R27
01_187;01;187;1260;HAUT-VALROMEY;3062;R27
01_199;01;199;1640;JUJURIEUX;3970;R27
30_202;30;202;30130;PONT ST ESPRIT;539;R27
56_263;56;263;56400;SAINTE-ANNE-D'AURAY;949;R27
73_023;73;023;73500;AUSSOIS;676;R27
28_173;28;173;28300;GASVILLE OISEME;287;R27
29_045;29;045;29460;DIRINON;1502;R27
2A_098;2A;098;20138;COTI-CHIAVARI;110;R27
30_311;30;311;30610;SAUVE;3036;R27
54_300;54;300;54410;LANEUVEVILLE-DEVANT-NANCY;340;R27
61_001;61;001;61000;ALENCON;169;R75
77_510;77;510;77174;VILLENEUVE-SAINT-DENIS;1130;R75
91_630;91;630;91530;VAL-SAINT-GERMAIN (LE);1027;R75
28_218;28;218;28110;LUCE;886;R75
33_366;33;366;33240;SAINT-ANDRE-DE-CUBZAC;391;R75
38_059;38;059;38320;BRIE-ET-ANGONNES;117;R75
38_061;38;061;38500;LA BUISSE;50;R75
38_309;38;309;38320;POISAT;88;R75
38_565;38;565;38340;VOREPPE;215;R75
39_333;39;333;39260;MOIRANS-EN-MONTAGNE;94;R75
87_050;87;050;87270;COUZEIX;4285;R75
95_026;95;026;95270;ASNIERES-SUR-OISE;553;R75
06_067;06;067;6500;GORBIO;1130;R75
34_063;34;063;34720;CAUX;1129;R75
44_018;44;018;44830;BOUAYE;270;R75
83_011;83;011;83830;BARGEMON;300;R75
06_003;06;003;6750;ANDON;5050;R75
11_203;11;203;11200;LEZIGNAN-CORBIERES;4026;R75
33_545;33;545;33180;VERTHEUIL;4429;R75
66_213;66;213;66350;TOULOUGES;1123;R75
74_082;74;082;74160;COLLONGES-SOUS-SALEVE;2307;R75
05_179;05;179;5400;VEYNES;705;R75
33_099;33;099;33360;CARIGNAN-DE-BORDEAUX;379;R75
42_026;42;026;42720;BRIENNON;2919;R75
60_172;60;172;60580;COYE LA FORET;2012;R75
69_215;69;215;69640;SAINT-JULIEN;430;R75
01_079;01;079;1260;CHAMPAGNE-EN-VALROMEY;1972;R24
05_166;05;166;5700;SERRES;15588;R24
28_089;28;089;28170;CHATEAUNEUF EN THYMERAIS;1656;R24
28_227;28;227;28130;MAINTENON;1664;R24
34_240;34;240;34130;SAINT-AUNES;10661;R24
60_695;60;695;60500;VINEUIL ST FIRMIN;1981;R24
74_185;74;185;74560;MONNETIER-MORNEX;1569;R24
74_298;74;298;74100;VETRAZ-MONTHOUX;984;R24
78_152;78;152;78450;CHAVENAY;12950;R24
78_486;78;486;78610;PERRAY-EN-YVELINES (LE);491;R24
73_031;73;031;73000;BASSENS;1457;R24
11_024;11;024;11100;BAGES;51;R24
33_293;33;293;33450;MONTUSSAN;21276;R24
35_362;35;362;35540;LE TRONCHET;261;R24
71_120;71;120;71170;CHAUFFAILLES;167;R24
06_013;06;013;6450;BELVEDERE;116;R24
06_152;06;152;6560;VALBONNE;1386;R24
07_078;07;078;7430;DAVEZIEUX;1206;R24
11_206;11;206;11300;LIMOUX;141;R24
2B_020;2B;020;20220;AREGNO;1335;R84
34_270;34;270;34430;SAINT-JEAN-DE-VEDAS;2281;R84
34_282;34;282;34570;SAINT PAUL ET VALMALLE;932;R84
41_276;41;276;41000;VILLEBAROU;250;R84
47_055;47;055;47290;CASTELNAUD DE GRATECAMBE;619;R84
73_176;73;176;73700;MONTVALEZAN;405;R84
78_683;78;683;78640;VILLIERS-SAINT-FREDERIC;300;R84
45_274;45;274;45560;SAINT-DENIS-EN-VAL;93;R84
56_260;56;260;56000;VANNES;226;R84
66_017;66;017;66420;LE BARCARES;233;R84
48_092;48;092;48100;MARVEJOLS;249;R84
01_224;01;224;1360;LOYETTES;1313;R84
06_095;06;095;6530;PEYMEINADE;126;R84
35_265;35;265;35190;SAINT-DOMINEUC;712;R84
39_500;39;500;39110;SALINS LES BAINS;205;R84
45_300;45;300;45640;SANDILLON;132;R84
60_337;60;337;60190;LACHELLE;1187;R84
25_380;25;380;25370;METABIEF;216;R84
63_241;63;241;63114;MONTPEYROUX;308;R84
64_422;64;422;64400;OLORON SAINTE MARIE;646;R84
33_324;33;324;33220;PINEUILH;335;R84
37_196;37;196;37120;RICHELIEU;1179;R84
50_484;50;484;50600;SAINT-HILAIRE-DU-HARCOUET;547;R84
59_426;59;426;59960;NEUVILLE EN FERRAIN;239;R84
2B_134;2B;134;20220;L'ILE ROUSSE;401;R84
84_069;84;069;84340;MALAUCENE;302;R84
06_006;06;006;6790;ASPREMONT;769;R84
06_020;06;020;6450;LA BOLLENE-VESUBIE;2322;R84
29_217;29;217;29930;PONT-AVEN;1517;R84
73_182;73;182;73100;MOUXY;785;R84
76_497;76;497;76650;PETIT-COURONNE (LE);203;R52
77_114;77;114;77173;CHEVRY-COSSIGNY;7344;R52
33_492;33;492;33920;SAINT-YZAN-DE-SOUDIAC;6631;R52
34_239;34;239;34725;SAINT-ANDRE-DE-SANGONIS;621;R52
35_247;35;247;35610;ROZ-SUR-COUESNON;420;R52
59_014;59;014;59410;ANZIN;269;R52
60_025;60;025;60350;ATTICHY;646;R52
62_126;62;126;62660;BEUVRY;405;R52
64_339;64;339;64800;LESTELLE BETHARRAM;220;R52
69_294;69;294;69360;SEREZIN-DU-RHONE;1073;R52
95_628;95;628;95760;VALMONDOIS;312;R52
11_370;11;370;11110;SALLES D AUDE;239;R52
64_100;64;100;64200;BASSUSSARRY;926;R52
09_176;09;176;9250;LUZENAC;202;R24
11_258;11;258;11120;MOUSSAN;893;R24
43_177;43;177;43140;SAINT-DIDIER-EN-VELAY;249;R24
51_643;51;643;51530;VINAY;610;R24
54_261;54;261;54440;HERSERANGE;5546;R24
64_409;64;409;64400;MOUMOUR;2879;R24
73_114;73;114;73590;FLUMET;3125;R24
73_227;73;227;73120;COURCHEVEL;11125;R24
74_305;74;305;74100;VILLE-LA-GRAND;2352;R24
77_436;77;436;77169;SAINT-SIMEON;342;R24
83_041;83;041;83830;CLAVIERS;1407;R24
05_098;05;098;5200;LES ORRES;852;R24
06_077;06;077;6440;LUCERAM;6030;R24
26_252;26;252;26800;PORTES LES VALENCE;3722;R24
64_189;64;189;64500;CIBOURE;2382;R24
65_295;65;295;65120;LUZ-SAINT-SAUVEUR;8739;R24
74_069;74;069;74520;CHENEX;1429;R24
74_153;74;153;74380;LUCINGES;232;R24
78_623;78;623;78490;TREMBLAY-SUR-MAULDRE (LE);337;R24
91_136;91;136;91160;CHAMPLAN;771;R24
01_247;01;247;1410;MIJOUX;5823;R24
24_226;24;226;24230;LAMOTHE-MONTRAVEL;10819;R24
25_073;25;073;25870;BONNAY;81;R24
2A_324;2A;324;20163;TAVERA;145;R24
30_061;30;061;30190;LA CALMETTE;562;R24
38_279;38;279;38220;NOTRE-DAME-DE-MESAGE;79;R24
44_176;44;176;44550;SAINT-MALO-DE-GUERSAC;720;R24
69_276;69;276;69320;FEYZIN;80912;R24
74_243;74;243;74160;SAINT-JULIEN-EN-GENEVOIS;2122;R24
77_237;77;237;77600;JOSSIGNY;177;R76
06_074;06;074;6450;LANTOSQUE;1432;R76
17_142;17;142;17139;DOMPIERRE-SUR-MER;308;R76
30_140;30;140;30460;LASALLE;331;R76
31_232;31;232;31330;GRENADE SUR GARONNE;1343;R76
34_014;34;014;34820;ASSAS;229;R76
2B_185;2B;185;20232;OLETTA;3264;R76
33_284;33;284;33380;MIOS;1142;R76
38_052;38;052;38520;LE BOURG-D'OISANS;773;R76
59_090;59;090;59910;BONDUES;129;R76
91_315;91;315;91760;ITTEVILLE;666;R76
11_310;11;310;11190;RENNES LES BAINS;802;R76
25_222;25;222;25580;ETALANS;181;R76
26_290;26;290;26420;SAINT-AGNAN-EN-VERCORS;947;R76
38_442;38;442;38380;SAINT-PIERRE-DE-CHARTREUSE;1377;R76
64_463;64;463;64260;REBENACQ;433;R76
65_199;65;199;65240;GERM;196;R76
66_002;66;002;66200;ALENYA;782;R76
77_163;77;163;77139;DOUY-LA-RAMEE;831;R76
78_133;78;133;78240;CHAMBOURCY;2042;R76
95_523;95;523;95780;LA ROCHE-GUYON;1430;R76
02_201;02;201;2600;COEUVRES ET VALSERY;151;R75
25_381;25;381;25480;MISEREY SALINES;193;R75
30_020;30;020;30620;AUBORD;272;R75
31_205;31;205;31150;GAGNAC SUR GARONNE;1914;R75
45_203;45;203;45130;MEUNG-SUR-LOIRE;104;R75
62_413;62;413;62440;HARNES;258;R75
69_076;69;076;69380;DOMMARTIN;3048;R75
69_284;69;284;69250;MONTANAY;201;R75
84_036;84;036;84470;CHATEAUNEUF-DE-GADAGNE;56;R75
17_291;17;291;17138;PUILBOREAU;159;R75
18_141;18;141;18500;MEHUN-SUR-YEVRE;553;R75
25_539;25;539;25230;SELONCOURT;622;R75
27_562;27;562;27950;ST MARCEL;73;R75
30_276;30;276;30220;SAINT-LAURENT-D AIGOUZE;1066;R75
31_446;31;446;31520;RAMONVILLE ST AGNE;70;R75
37_003;37;003;37400;AMBOISE;405;R75
38_128;38;128;38970;CORPS;47;R75
54_152;54;152;54360;DAMELEVIERES;146;R75
54_167;54;167;54200;DOMMARTIN-LES-TOUL;130;R75
59_386;59;386;59520;MARQUETTE-LEZ-LILLE;172;R75
60_439;60;439;60250;MOUY;669;R75
73_329;73;329;73420;VOGLANS;527;R75
74_213;74;213;74330;POISY;182;R75
77_139;77;139;77181;COURTRY;1910;R75
80_627;80;627;80160;PLACHY-BUYON;84;R75
85_038;85;038;85260;BROUZILS (LES);36;R75
85_190;85;190;85620;ROCHESERVIERE;253;R75
05_110;05;110;5290;PUY SAINT VINCENT;624;R76
06_060;06;060;6950;FALICON;415;R76
25_304;25;304;25310;HERIMONCOURT;141;R76
34_126;34;126;34240;LAMALOU-LES-BAINS;425;R76
49_194;49;194;49630;MAZE-MILON;485;R76
60_432;60;432;60128;MORTEFONTAINE;1217;R76
62_215;62;215;62220;CARVIN;855;R76
69_111;69;111;69620;LEGNY;95;R76
69_122;69;122;69480;LUCENAY;70;R76
73_010;73;010;73410;ENTRELACS;442;R76
73_132;73;132;73620;HAUTELUCE;499;R76
73_300;73;300;73100;TRESSERVE;565;R76
91_546;91;546;91410;SAINT-CYR-SOUS-DOURDAN;92;R76
64_417;64;417;64800;NAY;144;R76
77_146;77;146;77183;CROISSY-BEAUBOURG;328;R52
77_339;77;339;77123;NOISY-SUR-ECOLE;161;R52
78_189;78;189;78121;CRESPIERES;207;R52
83_138;83;138;83440;TOURRETTES;290;R52
86_100;86;100;86240;FONTAINE-LE-COMTE;236;R52
07_346;07;346;7220;VIVIERS;854;R52
25_403;25;403;25500;MONTLEBON;48;R52
34_215;34;215;34230;POUZOLS;86;R52
44_066;44;066;44119;GRANDCHAMP-DES-FONTAINES;189;R52
64_256;64;256;64240;HASPARREN;1878;R52
65_017;65;017;65170;ARAGNOUET;2030;R52
66_059;66;059;66200;CORNEILLA DEL VERCOL;100;R52
77_175;77;175;77166;EVRY-GREGY-SUR-YERRE;148;R52
974_408;974;408;97419;LA POSSESSION;2063;R52
04_230;04;230;4210;VALENSOLE;411;R52
05_040;05;040;5230;CHORGES;291;R52
05_132;05;132;5500;SAINT-BONNET-EN-CHAMPSAUR;315;R52
22_343;22;343;22560;TREBEURDEN;978;R52
25_197;25;197;25960;DELUZ;591;R52
26_220;26;220;26110;NYONS;215;R52
26_338;26;338;26740;SAUZET;562;R52
29_188;29;188;29630;PLOUGASNOU;313;R52
2A_090;2A;090;20118;COGGIA;1326;R52
31_157;31;157;31270;CUGNAUX;122;R52
33_534;33;534;33550;LE TOURNE;192;R52
43_041;43;041;43700;BRIVES-CHARENSAC;387;R52
45_089;45;089;45430;CHECY;112;R52
49_214;49;214;49460;MONTREUIL-JUIGNE;42;R52
56_040;56;040;56620;CLEGUER;32;R52
59_168;59;168;59830;CYSOING;55;R28
62_528;62;528;62750;LOOS EN GOHELLE;782;R28
64_132;64;132;64320;BIZANOS;136;R28
